"","SECTION_DESCR","PARAGRAPH_DESCR","BNF_CHEMICAL_SUBSTANCE","CHEMICAL_SUBSTANCE_BNF_DESCR"
"1845","Lipid-regulating drugs","Lipid-regulating drugs","0212000U0","Nicotinic acid"
"1846","Skin cleansers,antiseptics and desloughing agents","Chlorine and iodine","1311040I0","Iodine"
"1847","Drugs affecting the immune response","Other immunomodulating drugs","0802040AD","Fingolimod"
"1848","Beta-adrenoceptor blocking drugs","Beta-adrenoceptor blocking drugs","0204000F0","Atenolol with diuretic"
"1849","Hypertension and heart failure","Renin-angiotensin system drugs","0205051H0","Enalapril maleate with diuretic"
"1850","Drugs acting on the oropharynx","Mouth-washes, gargles and dentifrices","1203040E0","Chlorhexidine gluconate"
"1851","Anti-infective eye preparations","Antibacterials","1103010AK","Gatifloxacin"
"1852","Acute diarrhoea","Tryptophan hydroxylase inhibitors","0104040A0","Telotristat ethyl"
"1853","Miscellaneous ophthalmic preparations","Tear deficiency, eye lubricant and astringent","1108010L0","Liquid paraffin"
"1854","Drugs acting on the ear","Otitis externa","1201010AF","Ciprofloxacin/fluocinolone"
"1855","Sex Hormones","Female sex hormones and their modulators","0604011R0","Estropipate"
"1856","Cytotoxic drugs","Other antineoplastic drugs","0801050CT","Quizartinib"
"1857","Sex Hormones","Female sex hormones and their modulators","0604012W0","Dienogest"
"1858","Laxatives","Stimulant laxatives","0106020P0","Sodium picosulfate"
"1859","Drugs used in rheumatic diseases and gout","Non-steroidal anti-inflammatory drugs","1001010E0","Etodolac"
"1860","Drugs for genito-urinary disorders","Drugs for urinary retention","0704010T0","Terazosin hydrochloride"
"1861","Antibacterial drugs","Cephalosporins and other beta-lactams","0501020V0","Cefazolin sodium"
"1862","Anti-infective skin preparations","Antifungal preparations","1310020AA","Flutrimazole"
"1863","Lipid-regulating drugs","Lipid-regulating drugs","0212000AL","Bempedoic acid/Ezetimibe"
"1864","Drugs used in rheumatic diseases and gout","Non-steroidal anti-inflammatory drugs","1001010AL","Valdecoxib"
"1865","Metabolic disorders","Drugs used in metabolic disorders","0908010AT","Glycerol phenylbutyrate"
"1866","Laxatives","Stimulant laxatives","0106020J0","Co-danthrusate (Dantron/docusate sodium)"
"1867","Hypothalamic and pituitary hormones and anti, oestrogens","Hypothalamic & anterior pituitary hormone & antioestrogens","0605010I0","Follitropin alfa"
"1868","Skin cleansers,antiseptics and desloughing agents","Chlorhexidine salts","1311020L0","Chlorhexidine gluconate"
"1869","Oral nutrition","ONS - Standard","0913011S0","RtS 2-2.4 kcal/ml m/sk higher protein,higher energy(0913011)"
"1870","Drugs used in rheumatic diseases and gout","Non-steroidal anti-inflammatory drugs","1001010J0","Ibuprofen"
"1871","Antiviral drugs","Viral hepatitis","0503032A0","Boceprevir"
"1872","Anti-arrhythmic drugs","Drugs for arrhythmias","0203020F0","Disopyramide"
"1873","Cromoglycate, leukotriene and phosphodesterase type-4 inhib","Cromoglycate and related therapy","0303010Q0","Sodium cromoglicate"
"1874","Antifungal drugs","Echinocandin antifungals","0502040C0","Caspofungin"
"1875","Acids","Concentrated waters","190601000","Other concentrated water preparations"
"1876","Local sclerosants","Local sclerosants","0213000F0","Ethanolamine oleate"
"1877","Drugs used in diabetes","Treatment of hypoglycaemia","0601040H0","Glucagon"
"1878","Stoma Caps/Dressings","Stoma Caps/Dressings","2390","Stoma Caps/Dressings"
"1879","Drugs used in obstetrics","Prostaglandins and oxytocics","0701011F0","Ibuprofen"
"1880","Drugs used in obstetrics","Prostaglandins and oxytocics","0701010X0","Misoprostol (Gynaecology)"
"1881","Oral nutrition","Inherited metabolic disorder - Macronutrient source","0913211A0","Powder energy (carbohydrate and fat) fortifier (0913211)"
"1882","Anti-infective eye preparations","Antibacterials","1103010T0","Cefuroxime sodium"
"1883","Laxatives","Peripheral opioid-receptor antagonists","0106060B0","Naloxegol"
"1884","Oral nutrition","Inherited metabolic disorder - Protein source (paed)","0913223A0","Powder 28g protein equivalent per 100g (0913223)"
"1885","Diuretics","Potassium sparing diuretics and compounds","0202040B0","Co-amilofruse (Amiloride hydrochloride/frusemide)"
"1886","Drugs affecting the immune response","Other immunomodulating drugs","0802040BF","Ozanimod"
"1887","Anaemias and some other blood disorders","Hypoplastic,haemolytic and renal anaemias","0901030S0","Epoetin theta"
"1888","Antiviral drugs","HIV infection","0503010K0","Emtricitabine"
"1889","Oral nutrition","Flavour additive","0913302A0","Powder flavour additive (0913302)"
"1890","Drugs used in obstetrics","Prostaglandins and oxytocics","0701010T0","Oxytocin"
"1891","Treatment of glaucoma","Treatment of glaucoma","1106000U0","Metipranolol"
"1892","Drugs acting on the oropharynx","Oropharyngeal anti-infective drugs","1203020N0","Nystatin"
"1893","Hypertension and heart failure","Vasodilator antihypertensive drugs","0205010V0","Iloprost"
"1894","Antibacterial drugs","Aminoglycosides","0501040H0","Gentamicin sulfate"
"1895","Drugs used in diabetes","Insulin","0601012V0","Insulin glargine"
"1896","Arm Sling/Bandages","Arm Sling/Bandages","2002","Arm Sling/Bandages"
"1897","Oral nutrition","Inherited metabolic disorder - Fat source (infant)","0913251A0","Powder infant formula (0913251)"
"1898","Drugs affecting bone metabolism","Bisphosphonates and other drugs","0606020T0","Sodium clodronate"
"1899","Antibacterial drugs","Some other antibacterials","0501070T0","Teicoplanin"
"1900","Other endocrine drugs","Drugs affecting gonadotrophins","0607020C0","Danazol"
"1901","Absorbent Cottons","Absorbent Cottons","2001","Absorbent Cottons"
"1902","Treatment of vaginal and vulval conditions","Vaginal and vulval infections","0702020I0","Fenticonazole nitrate"
"1903","Drugs used in parkinsonism and related disorders","Dopaminergic drugs used in parkinsonism","0409010D0","Carbidopa"
"1904","Acne and rosacea","Oral preparations for acne","1306020J0","Isotretinoin"
"1905","Debridement Device","Debridement Device","2141","Debridement Device"
"1906","Other endocrine drugs","Drugs affecting gonadotrophins","0607020B0","Buserelin"
"1907","Preparations for eczema and psoriasis","Preparations for eczema","1305010J0","Ichthammol"
"1908","Oral nutrition","Infant formula - Premature","0913111B0","Ready to serve preterm infant formula (0913111)"
"1909","Oral nutrition (OLD - DO NOT USE)","Foods for special diets","0904010X0","Low protein breads"
"1910","Cytotoxic drugs","Other antineoplastic drugs","0801050CR","Ribociclib"
"1911","Corticosteroids (endocrine)","Glucocorticoid therapy","0603020I0","Deflazacort"
"1912","Mydriatics and cycloplegics","Mydriatics and cycloplegics","1105000E0","Cyclopentolate hydrochloride"
"1913","Enteral nutrition","Tube feed - Standard","0914011B0","Tube feed 1 kcal/ml (0914011) "
"1914","Cytotoxic drugs","Other antineoplastic drugs","0801050U0","Procarbazine hydrochloride"
"1915","Antidepressant drugs","Other antidepressant drugs","0403040U0","Reboxetine"
"1916","Antibacterial drugs","Tetracyclines","0501030L0","Lymecycline"
"1917","Drugs for genito-urinary disorders","Drugs for urinary frequency enuresis and incontinence","0704020AC","Darifenacin hydrobromide"
"1918","Hernia Support Garments","Hernia Support Garments","2146","Hernia Support Garments"
"1919","Sex hormones and hormone antagonists in malignant disease","Hormone antagonists","0803042N0","Leuprorelin acetate"
"1920","Trusses","Trusses","2106","Trusses"
"1921","Topical corticosteroids","Topical corticosteroids","1304000X0","Hydrocortisone acetate"
"1922","Hypertension and heart failure","Renin-angiotensin system drugs","0205052C0","Candesartan cilexetil"
"1923","Analgesics","Non-opioid analgesics and compound preparations","0407010AA","Aspirin and caffeine"
"1924","Mucolytics","Mucolytics","0307000J0","Carbocisteine"
"1925","Oral nutrition","Non-ACBS low protein food","0913451I0","Food replacer discontinued or OTC egg replacer (0913451)"
"1926","Drugs used in rheumatic diseases and gout","Other drugs for rheumatic diseases","1001050A0","Glucosamine hydrochloride (Rheumatic)"
"1927","Antiviral drugs","Herpesvirus infections","0503021E0","Famciclovir"
"1928","Treatment of vaginal and vulval conditions","Vaginal and vulval infections","0702020F0","Clotrimazole"
"1929","Drugs acting on the oropharynx","Mouth-washes, gargles and dentifrices","1203040K0","Phenol"
"1930","Antibacterial drugs","Antituberculosis drugs","0501090H0","Ethambutol hydrochloride"
"1931","Emollient and barrier preparations","Emollients","1302010H0","Fuller's earth"
"1932","Enteral nutrition","Non-ACBS condition specific tube feed","0914071C0","Tube feed non ACBS 1.5kcal/ml for use in diabetes (0914071)"
"1933","Anti-infective skin preparations","Antifungal preparations","1310020Z0","Undecenoates"
"1934","Metabolic disorders","Drugs used in metabolic disorders","0908010V0","Ademetionine"
"1935","Sex hormones and hormone antagonists in malignant disease","Hormone antagonists","0803041L0","Letrozole"
"1936","Drugs acting on the oropharynx","Lozenges and sprays","1203030N0","Menthol"
"1937","Drugs for genito-urinary disorders","Drugs for urinary retention","0704010I0","Distigmine bromide"
"1938","Diuretics","Thiazides and related diuretics","0202010Y0","Xipamide"
"1939","Antidepressant drugs","Other antidepressant drugs","0403040Z0","Agomelatine"
"1940","Hypertension and heart failure","Vasodilator antihypertensive drugs","0205010AC","Vericiguat"
"1941","Drugs used in nausea and vertigo","Drugs used in nausea and vertigo","0406000AC","Dimenhydrinate/cinnarizine"
"1942","Acne and rosacea","Topical preparations for acne","1306010M0","Isotretinoin"
"1943","Antibacterial drugs","Penicillins","0501013C0","Amoxicillin sodium"
"1944","Anticoagulants and protamine","Parenteral anticoagulants","0208010AD","Lepirudin"
"1945","Hypnotics and anxiolytics","Hypnotics","040101000","Other hypnotic preparations"
"1946","Leakage Notification System","Leakage Notification System","2399","Leakage Notification System"
"1947","Corticosteroids (endocrine)","Glucocorticoid therapy","0603020F0","Cortisone acetate"
"1948","Cytotoxic drugs","Antimetabolites","0801030X0","Gemcitabine"
"1949","Topical corticosteroids","Topical corticosteroids","130400000","Other topical corticosteroid preparations"
"1950","Sunscreens and camouflagers","Camouflagers","130802000","Other camouflage preparations"
"1951","Acne and rosacea","Topical preparations for acne","1306010F0","Clindamycin phosphate"
"1952","Vitamins","Vitamin E","0906050T0","Tocopheryl acetate"
"1953","Cytotoxic drugs","Antimetabolites","0801030Y0","Pemetrexed"
"1954","Minerals","Phosphorus","0905021L0","Sodium dihydrogen phosphate dihydrate"
"1955","Nitrates, calcium-channel blockers & other antianginal drugs","Peripheral vasodilators and related drugs","0206040AE","Naftidrofuryl oxalate"
"1956","Intravenous nutrition","Intravenous nutrition","090300000","Other intravenous nutrition preparations"
"1957","Nitrates, calcium-channel blockers & other antianginal drugs","Calcium-channel blockers","0206020R0","Nifedipine"
"1958","Cytotoxic drugs","Other antineoplastic drugs","0801050AI","Arsenic"
"1959","Anti-arrhythmic drugs","Drugs for arrhythmias","0203020I0","Flecainide acetate"
"1960","Nitrates, calcium-channel blockers & other antianginal drugs","Peripheral vasodilators and related drugs","0206040AA","Cinnarizine"
"1961","Sympathomimetics and other vasoconstrictor drugs","Vasoconstrictor sympathomimetics","0207020L0","Metaraminol"
"1962","Bronchodilators","Adrenoceptor agonists","0301012S0","Orciprenaline sulfate"
"1963","Hypertension and heart failure","Renin-angiotensin system drugs","0205051P0","Quinapril hydrochloride with diuretic"
"1964","Other endocrine drugs","Drugs affecting gonadotrophins","0607020W0","Ganirelix"
"1965","Cytotoxic drugs","Drugs for cytotoxic-induced side-effects","0801000X0","Disodium folinate"
"1966","Hypnotics and anxiolytics","Anxiolytics","0401020A0","Alprazolam"
"1967","Antifungal drugs","Echinocandin antifungals","0502040A0","Anidulafungin"
"1968","Contraceptives","Progestogen-only contraceptives","0703023L0","Levonorgestrel"
"1969","Drugs used in psychoses and related disorders","Antipsychotic drugs","0402010AD","Aripiprazole"
"1970","Drugs used in rheumatic diseases and gout","Non-steroidal anti-inflammatory drugs","1001010N0","Mefenamic acid"
"1971","Anti-infective skin preparations","Preparations for minor cuts and abrasions","1310050P0","Phenol"
"1972","Oral nutrition","Inherited metabolic disorder - Protein source","0913204H0","Ready to serve 20g protein equivalent (0913204)"
"1973","Oral nutrition","Non-ACBS condition specific follow on formula","0913361A0","Powder discontinued amino acid formula (0913361)"
"1974","Antibacterial drugs","Aminoglycosides","0501040N0","Neomycin sulfate"
"1975","General anaesthesia","Antimuscarinic drugs","1501030H0","Hyoscine hydrobromide"
"1976","Acne and rosacea","Topical preparations for acne","1306010A0","Aluminium oxide"
"1977","Hypertension and heart failure","Other adrenergic neurone blocking drugs","0205080A0","Ketanserin"
"1978","Cytotoxic drugs","Other antineoplastic drugs","0801050X0","Tretinoin"
"1979","Hypertension and heart failure","Renin-angiotensin system drugs","0205052V0","Valsartan"
"1980","Antiplatelet drugs","Antiplatelet drugs","0209000L0","Dipyridamole"
"1981","Vaccines and antisera","Vaccines and antisera","1404000E0","Cholera"
"1982","Preparations for eczema and psoriasis","Preparations for psoriasis","130502000","Other psoriasis preparations"
"1983","Vaccines and antisera","Vaccines and antisera","1404000AG","Rotavirus"
"1984","Oral nutrition","Non-ACBS Inherited metabolic disorder - Protein source","0913621F0","Powder 15g GMP protein equivalent (0913621)"
"1985","Oral nutrition","Non-ACBS thickener","0913411B0","Powder disc or non ACBS thickener - starch based (0913411)"
"1986","Drugs acting on the oropharynx","Lozenges and sprays","1203030F0","Dequalinium chloride"
"1987","Antiprotozoal drugs","Antimalarials","0504010X0","Quinine hydrochloride"
"1988","Hypertension and heart failure","Renin-angiotensin system drugs","0205052W0","Eprosartan"
"1989","Drugs used in psychoses and related disorders","Antipsychotic drugs","0402010M0","Loxapine succinate"
"1990","Hypothalamic and pituitary hormones and anti, oestrogens","Hypothalamic & anterior pituitary hormone & antioestrogens","0605010U0","Sermorelin acetate"
"1991","Shampoos and other preparations for scalp and hair conditions","Shampoo and other preparations for scalp and hair conditions","1309000H0","Minoxidil"
"1992","Analgesics","Non-opioid analgesics and compound preparations","0407010F0","Co-codamol (Codeine phosphate/paracetamol)"
